"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4640","TC-219 [High] Verify password is reset successfully by clicking Update Password","chromium","2026-03-24","passed","2026-03-24","Player Profile","Player_profile.spec.js","",""
"","5682","TC-010 [High] Verify user navigates to tournament page by clicking View Details","guest","2026-03-24","passed","2026-03-24","Home Page > Ongoing Competitions","Homepage.spec.js","",""
"","2765","TC-071a [Low] Verify validation message appears when email field is blank","guest","2026-03-24","passed","2026-03-24","Player > Forgot Password (TC-067 to TC-073)","Player_Forgot_password.spec.js","",""
"","3102","TC-209 [Medium] Verify new password field is displaying and user can fill it","chromium","2026-03-24","passed","2026-03-24","Player Profile","Player_profile.spec.js","",""
"","4163","TC-050 [High] Verify user is able to sign up by clicking Create Account","guest","2026-03-24","passed","2026-03-24","Player Sign Up","Player_Sign_Up.spec.js","",""
"","6608","TC-201 [Low] Verify user is able to select gender from dropdown","chromium","2026-03-24","passed","2026-03-24","Player Profile","Player_profile.spec.js","",""
"","6197","TC-200 [Low] Verify gender dropdown contains correct options and is selectable","chromium","2026-03-24","passed","2026-03-24","Player Profile","Player_profile.spec.js","",""
"","1450","TC-032b [Low] Verify validation message when first name field is blank","guest","2026-03-24","passed","2026-03-24","Player Sign Up","Player_Sign_Up.spec.js","",""
"","7001","discover page - print all buttons and links","chromium","2026-03-24","passed","2026-03-24","","Discover.diagnostic.spec.js","",""
"","1676","TC-175 [Low] Verify search box is displaying and user can fill it","chromium","2026-03-24","passed","2026-03-24","Player Venues","Player_Venues.spec.js","",""
"","1020","TC-037 [Medium] Verify email field is displaying as mandatory","guest","2026-03-24","passed","2026-03-24","Player Sign Up","Player_Sign_Up.spec.js","",""
"","1154","TC-064 [Medium] Verify Sign Up link is displaying on login page","guest","2026-03-24","passed","2026-03-24","Player Log In","Player_Log_In.spec.js","",""
"","6425","TC-202 [Low] Verify user can select date of birth from date picker","chromium","2026-03-24","passed","2026-03-24","Player Profile","Player_profile.spec.js","",""
"","7335","TC-205 [Medium] Verify player card modal opens when clicking Show Player Card","chromium","2026-03-24","passed","2026-03-24","Player Profile","Player_profile.spec.js","",""
"","1382","TC-039 [High] Verify password field is displaying and user can fill it","guest","2026-03-24","passed","2026-03-24","Player Sign Up","Player_Sign_Up.spec.js","",""
"","1918","TC-036 [High] Verify email field is displaying and user can fill it","guest","2026-03-24","passed","2026-03-24","Player Sign Up","Player_Sign_Up.spec.js","",""
"","1061","TC-040 [Medium] Verify password field is displaying as mandatory","guest","2026-03-24","passed","2026-03-24","Player Sign Up","Player_Sign_Up.spec.js","",""
"","1891","TC-191 [High] Verify user navigates to profile page by clicking My Profile","chromium","2026-03-24","passed","2026-03-24","Player Profile","Player_profile.spec.js","",""
"","1403","TC-058 [Medium] Verify password field is displaying as mandatory","guest","2026-03-24","passed","2026-03-24","Player Log In","Player_Log_In.spec.js","",""
"","1782","TC-038b [Low] Verify validation message when email is blank","guest","2026-03-24","passed","2026-03-24","Player Sign Up","Player_Sign_Up.spec.js","",""
"","11711","TC-129/130 [Medium] Verify remove option appears after adding player and removes them","chromium","2026-03-24","failed","2026-03-24","Player Discover","Player_Discover.spec.js","",""
"","1208","TC-032 [Low] Verify validation message for invalid first name","guest","2026-03-24","passed","2026-03-24","Player Sign Up","Player_Sign_Up.spec.js","",""
"","2997","TC-211 [Medium] Verify validation message appears for invalid or blank new password","chromium","2026-03-24","passed","2026-03-24","Player Profile","Player_profile.spec.js","",""
"","12075","TC-126 [Low] Verify Confirm button stays hidden when no player selected","chromium","2026-03-24","failed","2026-03-24","Player Discover","Player_Discover.spec.js","",""
"","10454","TC-199 [Medium] Verify address and postcode fields are editable and saved correctly","chromium","2026-03-24","passed","2026-03-24","Player Profile","Player_profile.spec.js","",""
"","2437","TC-217 [Medium] Verify Update Password button is displaying","chromium","2026-03-24","passed","2026-03-24","Player Profile","Player_profile.spec.js","",""
"","4297","TC-108b [Medium] Verify record displays when searching by venue name","chromium","2026-03-24","passed","2026-03-24","Player Discover","Player_Discover.spec.js","",""
"","1413","TC-001 [High] Verify user is navigate to the home page when user visit the web url","guest","2026-03-24","passed","2026-03-24","Home Page","Homepage.spec.js","",""
"","2010","TC-069 [High] Verify email field is displaying and user can fill it","guest","2026-03-24","passed","2026-03-24","Player > Forgot Password (TC-067 to TC-073)","Player_Forgot_password.spec.js","",""
"","1487","TC-035 [Low] Verify validation message for invalid last name","guest","2026-03-24","passed","2026-03-24","Player Sign Up","Player_Sign_Up.spec.js","",""
"","10308","TC-106 [High] Verify user navigates to Discover page by clicking Discover","chromium","2026-03-24","passed","2026-03-24","Player Dashboard (TC-103 to TC-106)","Player_Dashboard.spec.js","",""
"","15264","TC-113 [Medium] Verify View Details button is displaying","chromium","2026-03-24","failed","2026-03-24","Player Discover","Player_Discover.spec.js","",""
"","1431","TC-004 [High] Verify Sign Up button is displaying and navigates to sign up page","guest","2026-03-24","passed","2026-03-24","Home Page","Homepage.spec.js","",""
"","7104","TC-206 [Medium] Verify player QR code is displaying properly","chromium","2026-03-24","passed","2026-03-24","Player Profile","Player_profile.spec.js","",""
"","1886","TC-057 [High] Verify password field is displaying and user can fill it","guest","2026-03-24","passed","2026-03-24","Player Log In","Player_Log_In.spec.js","",""
"","1042","TC-177 [Medium] Verify all active venues list is displaying","chromium","2026-03-24","passed","2026-03-24","Player Venues","Player_Venues.spec.js","",""
"","11649","TC-104 [High] Verify user navigates to competition details page by clicking View Details","chromium","2026-03-24","passed","2026-03-24","Player Dashboard (TC-103 to TC-106)","Player_Dashboard.spec.js","",""
"","1707","TC-054 [High] Verify Email address field is displaying properly and user can fill it","guest","2026-03-24","passed","2026-03-24","Player Log In","Player_Log_In.spec.js","",""
"","3272","TC-072 [Medium] Verify Send Link button is displaying","guest","2026-03-24","passed","2026-03-24","Player > Forgot Password (TC-067 to TC-073)","Player_Forgot_password.spec.js","",""
"","1336","TC-046 [Medium] Verify terms and conditions checkbox is displaying and toggleable","guest","2026-03-24","passed","2026-03-24","Player Sign Up","Player_Sign_Up.spec.js","",""
"","1219","TC-060 [Low] Verify eye icon is visible and clicking it reveals password","guest","2026-03-24","passed","2026-03-24","Player Log In","Player_Log_In.spec.js","",""
"","1060","TC-182 [Medium] Verify View All button is displaying","chromium","2026-03-24","passed","2026-03-24","Player Venues","Player_Venues.spec.js","",""
"","1476","TC-097 [High] Verify user is able to logout by clicking Logout button","chromium","2026-03-24","passed","2026-03-24","Menu / Navigation","Menu_Navigation.spec.js","",""
"","1915","TC-215 [Medium] Verify validation message for invalid or blank confirm new password","chromium","2026-03-24","passed","2026-03-24","Player Profile","Player_profile.spec.js","",""
"","2677","TC-210 [Medium] Verify new password field is displaying as mandatory","chromium","2026-03-24","passed","2026-03-24","Player Profile","Player_profile.spec.js","",""
"","6553","TC-193 [Medium] Verify upload image option is displaying in profile image field","chromium","2026-03-24","passed","2026-03-24","Player Profile","Player_profile.spec.js","",""
"","11768","TC-133 [High] Verify user can join a team competition after filling all required fields","chromium","2026-03-24","failed","2026-03-24","Player Discover","Player_Discover.spec.js","",""
"","10166","TC-105 [Medium] Verify Discover button displays when user has not joined any competition","chromium","2026-03-24","passed","2026-03-24","Player Dashboard (TC-103 to TC-106)","Player_Dashboard.spec.js","",""
